country,hour_local,samples,rtt_median,rtt_p95,loss_pct,delta_vs_week_median
AE,0,210,182.0,191.32,0.0,1.93
AE,1,209,139.7,191.32,0.0,-40.38
AE,2,210,181.86,191.35,0.317,1.78
AE,3,209,139.65,191.38,0.0,-40.43
AE,4,209,165.67,191.38,0.0,-14.41
AE,5,210,181.98,249.71,0.0,1.9
AE,6,210,182.02,249.72,0.0,1.94
AE,7,210,181.81,191.38,0.0,1.74
AE,8,209,181.28,191.94,0.0,1.2
AE,9,210,181.51,191.93,0.0,1.43
AE,10,210,172.64,191.28,0.0,-7.44
AE,11,210,172.53,191.24,0.0,-7.55
AE,12,210,176.73,191.02,0.0,-3.35
AE,13,210,174.01,191.29,0.0,-6.07
AE,14,210,172.04,191.21,0.0,-8.04
AE,15,209,180.07,191.29,0.0,-0.01
AE,16,210,180.28,299.76,0.0,0.2
AE,17,209,180.06,191.21,0.0,-0.02
AE,18,209,180.03,191.3,0.0,-0.04
AE,19,210,180.09,191.34,0.0,0.01
AE,20,210,172.38,191.29,0.0,-7.7
AE,21,210,159.26,191.26,0.0,-20.82
AE,22,210,182.06,191.33,0.0,1.99
AE,23,210,182.06,191.34,0.0,1.98
SA,0,313,144.68,149.04,0.0,0.02
SA,1,313,144.68,148.81,0.0,0.02
SA,2,315,144.7,159.43,0.0,0.04
SA,3,311,144.69,148.85,0.0,0.03
SA,4,311,144.64,148.69,0.0,-0.02
SA,5,315,144.62,148.65,0.0,-0.04
SA,6,315,144.64,148.68,0.0,-0.02
SA,7,315,144.62,148.87,0.0,-0.04
SA,8,315,144.62,148.87,0.0,-0.04
SA,9,314,144.66,149.1,0.317,0.0
SA,10,315,144.72,149.54,0.0,0.07
SA,11,314,144.67,163.44,0.317,0.01
SA,12,315,144.75,159.58,0.0,0.09
SA,13,312,144.69,159.62,0.0,0.03
SA,14,315,144.66,159.64,0.0,-0.0
SA,15,315,144.66,148.87,0.0,0.0
SA,16,315,144.66,150.26,0.0,-0.0
SA,17,315,144.64,149.16,0.0,-0.01
SA,18,313,144.65,151.49,0.0,-0.01
SA,19,315,144.63,148.94,0.0,-0.03
SA,20,314,144.66,156.9,0.0,0.0
SA,21,315,144.68,150.27,0.0,0.02
SA,22,313,144.71,171.86,0.635,0.05
SA,23,315,144.65,148.92,0.0,-0.01
IR,0,202,112.91,304.06,0.499,0.08
IR,1,199,112.81,203.85,1.005,-0.03
IR,2,201,112.11,193.21,0.497,-0.73
IR,3,202,112.72,140.57,0.0,-0.12
IR,4,202,112.87,140.41,0.0,0.03
IR,5,202,112.75,135.34,0.0,-0.09
IR,6,203,112.92,135.26,0.0,0.08
IR,7,204,112.82,135.35,0.0,-0.02
IR,8,204,112.74,135.35,0.164,-0.1
IR,9,206,112.89,135.35,0.0,0.05
IR,10,203,112.95,135.33,0.817,0.11
IR,11,205,113.02,123.44,0.163,0.18
IR,12,204,112.99,125.66,0.0,0.15
IR,13,202,112.99,120.28,0.0,0.15
IR,14,204,112.84,162.47,0.822,0.0
IR,15,204,112.83,165.35,0.654,-0.01
IR,16,203,112.76,118.15,0.164,-0.07
IR,17,204,112.74,120.72,0.0,-0.1
IR,18,204,112.44,116.41,0.0,-0.4
IR,19,204,112.88,179.49,0.817,0.04
IR,20,204,112.82,119.29,0.0,-0.02
IR,21,203,112.43,122.37,1.485,-0.41
IR,22,201,112.81,162.13,0.0,-0.03
IR,23,204,112.72,231.91,0.329,-0.12
TR,0,300,64.14,104.69,5.092,-0.01
TR,1,300,63.94,104.66,5.496,-0.21
TR,2,302,63.99,104.5,4.962,-0.17
TR,3,303,64.03,104.64,5.059,-0.12
TR,4,305,63.95,104.54,3.905,-0.2
TR,5,305,63.95,104.61,4.828,-0.21
TR,6,306,63.97,104.48,4.306,-0.18
TR,7,307,64.0,104.44,4.095,-0.16
TR,8,304,63.97,104.41,4.813,-0.19
TR,9,304,63.95,103.37,4.301,-0.21
TR,10,301,63.95,104.26,6.297,-0.21
TR,11,302,64.16,104.51,4.834,0.0
TR,12,306,64.29,103.62,4.077,0.14
TR,13,305,64.38,103.98,4.442,0.22
TR,14,303,64.17,104.65,4.428,0.01
TR,15,305,64.25,104.72,4.437,0.09
TR,16,305,64.32,104.59,4.644,0.17
TR,17,303,64.65,104.44,5.258,0.5
TR,18,305,64.35,104.31,4.117,0.2
TR,19,303,64.25,104.42,4.962,0.1
TR,20,303,64.1,104.39,5.139,-0.05
TR,21,304,64.24,104.4,4.404,0.08
TR,22,303,64.24,104.65,5.681,0.08
TR,23,307,64.22,104.63,4.957,0.07
