probe_id,country,hop,ip,asn,holder,rtt
6392,AE,1,37.252.245.93,42473,AS-ANEXIA Anexia Cloud Solutions GmbH,0.28
6392,AE,2,188.172.255.33,42473,AS-ANEXIA Anexia Cloud Solutions GmbH,0.53
6392,AE,3,94.207.34.33,57187,DATAMENA-ASN Emirates Integrated Telec,0.5
6392,AE,4,94.207.42.33,57187,DATAMENA-ASN Emirates Integrated Telec,0.48
6392,AE,5,94.205.255.249,15802,DU-AS1 Emirates Integrated Telecommuni,1.21
6392,AE,6,*,,,
6392,AE,7,*,,,
6392,AE,8,213.248.103.106,1299,TWELVE99 Arelion Sweden AB,106.74
6392,AE,9,62.115.143.22,1299,TWELVE99 Arelion Sweden AB,140.08
6392,AE,10,62.115.124.119,1299,TWELVE99 Arelion Sweden AB,122.19
6392,AE,11,*,,,
6392,AE,12,*,,,
6392,AE,13,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,191.44
6508,IR,1,85.185.93.1,58224,TCI Iran Telecommunication Company PJS,0.63
6508,IR,2,172.16.108.193,,,1.99
6508,IR,3,172.16.108.33,,,2.03
6508,IR,4,172.16.108.5,,,2.23
6508,IR,5,172.16.2.5,,,1.09
6508,IR,6,*,,,
6508,IR,7,185.1.48.58,,,135.95
6508,IR,8,*,,,
6508,IR,9,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,119.59
6431,SA,1,109.171.136.2,50999,KAUST-AS1 King Abdullah University of ,0.57
6431,SA,2,10.126.145.5,,,0.71
6431,SA,3,192.168.11.14,,,1.02
6431,SA,4,212.72.47.149,3356,LEVEL3 - Level 3 Parent,68.21
6431,SA,5,171.75.9.233,3356,LEVEL3 - Level 3 Parent,96.32
6431,SA,6,212.162.31.130,3356,LEVEL3 - Level 3 Parent,148.11
6431,SA,7,130.193.166.21,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,148.49
6431,SA,8,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,148.22
6616,SA,1,94.77.252.89,47794,ATHEEB-AS Etihad GO Company For commun,0.27
6616,SA,2,94.77.210.129,47794,ATHEEB-AS Etihad GO Company For commun,0.4
6616,SA,3,213.242.119.97,3356,LEVEL3 - Level 3 Parent,62.85
6616,SA,4,171.75.9.233,3356,LEVEL3 - Level 3 Parent,92.91
6616,SA,5,212.162.31.130,3356,LEVEL3 - Level 3 Parent,143.56
6616,SA,6,130.193.166.21,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,143.77
6616,SA,7,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,145.01
6429,TR,1,213.238.162.217,48292,intibu Ciklet Tasarim Iletisim ve Org.,0.38
6429,TR,2,*,,,
6429,TR,3,10.235.235.205,,,6.85
6429,TR,4,10.1.2.57,,,1.33
6429,TR,5,10.1.1.51,,,0.84
6429,TR,6,10.1.1.33,,,2.02
6429,TR,7,185.1.48.58,,,79.45
6429,TR,8,130.193.166.21,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,55.95
6429,TR,9,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,64.01
6662,TR,1,5.188.168.2,202422,GHOST G-Core Labs S.A.,0.24
6662,TR,2,10.255.20.182,,,0.3
6662,TR,3,10.255.20.178,,,0.35
6662,TR,4,10.255.20.160,,,0.37
6662,TR,5,*,,,
6662,TR,6,*,,,
6662,TR,7,130.193.166.22,21277,Newroz-Telecom-ASN Allay Nawroz Teleco,62.92
